# template	why there is no judge entry (blank = no matching Library Checker problem)
Graph/Flow_And_Matching/Dinic.cpp	judge-proven separately: CSES 1694 "Download Speed", ACCEPTED 2026-08-18
DP/Slope_Trick.cpp	judge-proven separately: CSES 2132 "Increasing Array II", ACCEPTED 2026-08-17
Tree/Rerooting.cpp	submission ready in verify/Rerooting (CSES 1133); tree_path_composite_sum is the Library Checker equivalent, not yet driven
Data_Structure/Interval_Set.cpp	submission ready in verify/Interval_Set (CSES 1735), unsubmitted
Strings/Expression_Parsing.cpp	submission ready in verify/Expression_Parsing (SPOJ ONP), unsubmitted
Tree/Diameter.cpp	Library Checker's tree_diameter is WEIGHTED; this template is unweighted
Misc/Majority_Element.cpp	Library Checker's majority_voting is a range query with updates; this is whole-array Boyer-Moore
Range_Query/Segment_Tree/Segment_Tree_Lazy.cpp	Library Checker has range AFFINE range sum; this template does range ADD range sum
Math/Calculus/Differentiation.cpp	numeric, no exact-answer judge problem exists
Math/Calculus/Integration.cpp	numeric, no exact-answer judge problem exists
